0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:05:04 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:06:57 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:06:57 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:07:08 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:07:08 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:07:08 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:07:14 -0600] "GET /PresidentsProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:07:14 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:08:16 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:08:16 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:13:24 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:13:24 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:13:53 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:13:53 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:23 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:23 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:32 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:33 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:39 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:39 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 963
